ko_id,ko_name,n_cells,kruskal_pval,dunns_1-2,dunns_1-3,dunns_2-3,fc_1-2,fc_1-3,fc_2-3,minfc_1,minfc_2,minfc_3,maxp_1,maxp_2,maxp_3
KO:K00001,alcohol dehydrogenase [EC:1.1.1.1],6539,1.3638280867437443e-23,1.3316045216994555e-16,0.007952589775567143,7.633472298536481e-21,-0.21902609,0.24786758,0.46689367,-0.21902609,0.21902609,-0.46689367,0.007952589775567143,1.3316045216994555e-16,0.007952589775567143
KO:K00002,alcohol dehydrogenase (NADP+) [EC:1.1.1.2],5054,7.538280265016204e-167,2.351958369690647e-59,1.008275265155135e-157,2.3514437166552315e-30,-1.3491316,-2.3621533,-1.0130217,-2.3621533,-1.0130217,1.0130217,2.351958369690647e-59,2.3514437166552315e-30,2.3514437166552315e-30
KO:K00003,homoserine dehydrogenase [EC:1.1.1.3],6539,8.29318439331005e-198,1.423477998065074e-174,1.2690865174631052e-90,4.014009949478585e-06,-0.8838301,-0.56270695,0.32112312,-0.8838301,0.32112312,-0.32112312,1.2690865174631052e-90,4.014009949478585e-06,4.014009949478585e-06
KO:K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",6388,2.2955132800204556e-215,1.0243499906553374e-147,5.077860519702314e-13,3.876047637297359e-176,1.1387496,-0.3296547,-1.4684043,-0.3296547,-1.4684043,0.3296547,5.077860519702314e-13,1.0243499906553374e-147,5.077860519702314e-13
KO:K00005,glycerol dehydrogenase [EC:1.1.1.6],5733,1.3465072947069336e-269,1.0796625467299907e-36,3.0812713166954557e-271,2.7980143393063196e-110,-0.96484923,-2.7552936,-1.7904444,-2.7552936,-1.7904444,1.7904444,1.0796625467299907e-36,1.0796625467299907e-36,2.7980143393063196e-110
KO:K00006,glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],1841,3.572731533083571e-125,7.09610053149018e-109,0.7130045048243624,7.270851762409117e-79,-2.0642574,0.19399881,2.2582562,-2.0642574,2.0642574,-2.2582562,0.7130045048243624,7.270851762409117e-79,0.7130045048243624
KO:K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11],3639,5.309983691058987e-179,1.767665962321377e-12,3.361802789517374e-120,4.355391880675929e-168,-0.70465475,4.206167,4.910822,-0.70465475,0.70465475,-4.910822,1.767665962321377e-12,1.767665962321377e-12,3.361802789517374e-120
KO:K00008,L-iditol 2-dehydrogenase [EC:1.1.1.14],6513,5.061735271707177e-255,1.7428944710759786e-143,3.97080803283001e-33,9.926102752337934e-231,0.9699626,-0.5678158,-1.5377784,-0.5678158,-1.5377784,0.5678158,3.97080803283001e-33,1.7428944710759786e-143,3.97080803283001e-33
KO:K00009,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],5226,0.0,0.00437222905276746,1.0804646766622829e-265,1.4277116308557742e-266,0.23657954,-3.135775,-3.3723545,-3.135775,-3.3723545,3.135775,0.00437222905276746,0.00437222905276746,1.0804646766622829e-265
KO:K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],6504,7.247141979702483e-101,6.1272639079965285e-65,1.6926495100267511e-75,0.0027553017458257635,0.49506426,0.80501986,0.3099556,0.49506426,-0.49506426,-0.80501986,6.1272639079965285e-65,0.0027553017458257635,0.0027553017458257635
KO:K00011,aldehyde reductase [EC:1.1.1.21],4607,0.0,0.0,1.1339864842427872e-197,6.682839854394697e-08,4.146683,3.5759068,-0.57077646,3.5759068,-4.146683,-3.5759068,1.1339864842427872e-197,6.682839854394697e-08,6.682839854394697e-08
KO:K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22],6539,6.93300018403681e-151,3.63581731740133e-110,1.0917073376746756e-98,0.2654767653250715,-0.57320595,-0.46189213,0.11131382,-0.57320595,0.11131382,-0.11131382,1.0917073376746756e-98,0.2654767653250715,0.2654767653250715
KO:K00013,histidinol dehydrogenase [EC:1.1.1.23],6539,2.6505630490435113e-294,2.069571585903208e-239,5.892458927576657e-161,0.02280579895466623,-0.94136333,-0.711565,0.22979832,-0.94136333,0.22979832,-0.22979832,5.892458927576657e-161,0.02280579895466623,0.02280579895466623
KO:K00014,shikimate dehydrogenase [EC:1.1.1.25],6539,6.159051221818094e-292,8.358635523806573e-276,6.955677595497098e-101,5.268633966981692e-22,-1.1953788,-0.63145113,0.56392765,-1.1953788,0.56392765,-0.56392765,6.955677595497098e-101,5.268633966981692e-22,5.268633966981692e-22
KO:K00015,glyoxylate reductase [EC:1.1.1.26],6517,1.5414530091235444e-12,1.5416487473643074e-09,8.364261635539233e-10,0.4837000304818747,0.2897296,0.34353256,0.053802967,0.2897296,-0.2897296,-0.34353256,1.5416487473643074e-09,0.4837000304818747,0.4837000304818747
KO:K00016,L-lactate dehydrogenase [EC:1.1.1.27],6466,3.2088982381135046e-199,1.5480839414797734e-74,2.652404485994848e-56,2.50111498455659e-197,0.93567944,-0.6976862,-1.6333656,-0.6976862,-1.6333656,0.6976862,2.652404485994848e-56,1.5480839414797734e-74,2.652404485994848e-56
KO:K00018,glycerate dehydrogenase [EC:1.1.1.29],6480,1.1435648637754523e-173,2.4643748086652265e-14,1.5007077401738043e-173,7.483062396023948e-88,-0.21574497,-1.1226768,-0.9069319,-1.1226768,-0.9069319,0.9069319,2.4643748086652265e-14,2.4643748086652265e-14,7.483062396023948e-88
KO:K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],6508,0.0,4.666670642003144e-16,1.54316751783454e-310,1.7958745824878046e-177,0.28371954,1.5310988,1.2473793,0.28371954,-0.28371954,-1.5310988,4.666670642003144e-16,4.666670642003144e-16,1.7958745824878046e-177
KO:K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],6535,5.8530409491742e-268,1.449566834248098e-15,5.51510237879996e-184,3.1774135185460797e-248,-0.22726345,1.2644815,1.491745,-0.22726345,0.22726345,-1.491745,1.449566834248098e-15,1.449566834248098e-15,5.51510237879996e-184
