,0,1,2,3,4,cluster
0,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040],K00011  AKR1B; aldehyde reductase [EC:1.1.1.21],Cluster_1
1,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ko00051],K00011  AKR1B; aldehyde reductase [EC:1.1.1.21],Cluster_1
2,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ko00052],K00011  AKR1B; aldehyde reductase [EC:1.1.1.21],Cluster_1
3,ko00001,09100 Metabolism,09103 Lipid metabolism,00561 Glycerolipid metabolism [PATH:ko00561],K00011  AKR1B; aldehyde reductase [EC:1.1.1.21],Cluster_1
4,ko00001,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790],K00011  AKR1B; aldehyde reductase [EC:1.1.1.21],Cluster_1
5,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ko00052],K00035  gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],Cluster_1
6,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040],K00039  rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],Cluster_1
7,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ko00053],"K00107  ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",Cluster_1
8,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00650 Butanoate metabolism [PATH:ko00650],K00109  L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],Cluster_1
9,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],K00114  exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],Cluster_1
10,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],K00114  exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],Cluster_1
11,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00625 Chloroalkane and chloroalkene degradation [PATH:ko00625],K00114  exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],Cluster_1
12,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00627 Aminobenzoate degradation [PATH:ko00627],K00141  xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],Cluster_1
13,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00623 Toluene degradation [PATH:ko00623],K00141  xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],Cluster_1
14,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00622 Xylene degradation [PATH:ko00622],K00141  xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],Cluster_1
15,ko00001,09100 Metabolism,09105 Amino acid metabolism,00300 Lysine biosynthesis [PATH:ko00300],K00143  LYS2; L-2-aminoadipate reductase [EC:1.2.1.95],Cluster_1
16,ko00001,09100 Metabolism,09105 Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350],"K00146  feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]",Cluster_1
17,ko00001,09100 Metabolism,09105 Amino acid metabolism,00360 Phenylalanine metabolism [PATH:ko00360],"K00146  feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]",Cluster_1
18,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00643 Styrene degradation [PATH:ko00643],"K00146  feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]",Cluster_1
19,ko00001,09100 Metabolism,09102 Energy metabolism,00680 Methane metabolism [PATH:ko00680],K00148  fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],Cluster_1
20,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00625 Chloroalkane and chloroalkene degradation [PATH:ko00625],K00148  fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],Cluster_1
21,ko00001,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00153  E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],Cluster_1
22,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],K00156  poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1],Cluster_1
23,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],"K00167  BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]",Cluster_1
24,ko00001,09100 Metabolism,09105 Amino acid metabolism,"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]","K00167  BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]",Cluster_1
25,ko00001,09100 Metabolism,09104 Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240],K00207  DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],Cluster_1
26,ko00001,09100 Metabolism,09106 Metabolism of other amino acids,00410 beta-Alanine metabolism [PATH:ko00410],K00207  DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],Cluster_1
27,ko00001,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K00207  DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],Cluster_1
28,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],K00207  DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],Cluster_1
29,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00362 Benzoate degradation [PATH:ko00362],K00217  E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],Cluster_1
30,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00364 Fluorobenzoate degradation [PATH:ko00364],K00217  E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],Cluster_1
31,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],K00217  E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],Cluster_1
32,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00623 Toluene degradation [PATH:ko00623],K00217  E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],Cluster_1
33,ko00001,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00221  E4.99.1.2; alkylmercury lyase [EC:4.99.1.2],Cluster_1
34,ko00001,09100 Metabolism,09105 Amino acid metabolism,"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]",K00271  vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23],Cluster_1
35,ko00001,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,00908 Zeatin biosynthesis [PATH:ko00908],K00279  CKX; cytokinin dehydrogenase [EC:1.5.99.12],Cluster_1
36,ko00001,09100 Metabolism,09105 Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330],K00316  spdH; spermidine dehydrogenase [EC:1.5.99.6],Cluster_1
37,ko00001,09100 Metabolism,09106 Metabolism of other amino acids,00410 beta-Alanine metabolism [PATH:ko00410],K00316  spdH; spermidine dehydrogenase [EC:1.5.99.6],Cluster_1
38,ko00001,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],K00360  nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-],Cluster_1
39,ko00001,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K00365  uaZ; urate oxidase [EC:1.7.3.3],Cluster_1
40,ko00001,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00232 Caffeine metabolism [PATH:ko00232],K00365  uaZ; urate oxidase [EC:1.7.3.3],Cluster_1
41,ko00001,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],K00366  nirA; ferredoxin-nitrite reductase [EC:1.7.7.1],Cluster_1
42,ko00001,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],"K00372  nasC,  nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]",Cluster_1
43,ko00001,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K00410  fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit,Cluster_1
44,ko00001,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K00410  fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit,Cluster_1
45,ko00001,09100 Metabolism,09105 Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350],K00422  E1.10.3.1; polyphenol oxidase [EC:1.10.3.1],Cluster_1
46,ko00001,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00950 Isoquinoline alkaloid biosynthesis [PATH:ko00950],K00422  E1.10.3.1; polyphenol oxidase [EC:1.10.3.1],Cluster_1
47,ko00001,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00433  cpo; non-heme chloroperoxidase [EC:1.11.1.10],Cluster_1
48,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00362 Benzoate degradation [PATH:ko00362],"K00446  dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]",Cluster_1
49,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],"K00446  dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]",Cluster_1
50,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00622 Xylene degradation [PATH:ko00622],"K00446  dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]",Cluster_1
51,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00643 Styrene degradation [PATH:ko00643],"K00446  dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]",Cluster_1
52,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00362 Benzoate degradation [PATH:ko00362],"K00448  pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",Cluster_1
53,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00624 Polycyclic aromatic hydrocarbon degradation [PATH:ko00624],"K00448  pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",Cluster_1
54,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],"K00462  bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]",Cluster_1
55,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00621 Dioxin degradation [PATH:ko00621],"K00462  bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]",Cluster_1
56,ko00001,09100 Metabolism,09105 Amino acid metabolism,00380 Tryptophan metabolism [PATH:ko00380],K00466  iaaM; tryptophan 2-monooxygenase [EC:1.13.12.3],Cluster_1
57,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],K00467  E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4],Cluster_1
58,ko00001,09100 Metabolism,09105 Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350],K00483  hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9],Cluster_1
59,ko00001,09100 Metabolism,09105 Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350],K00505  TYR; tyrosinase [EC:1.14.18.1],Cluster_1
60,ko00001,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00950 Isoquinoline alkaloid biosynthesis [PATH:ko00950],K00505  TYR; tyrosinase [EC:1.14.18.1],Cluster_1
61,ko00001,09150 Organismal Systems,09152 Endocrine system,04916 Melanogenesis [PATH:ko04916],K00505  TYR; tyrosinase [EC:1.14.18.1],Cluster_1
62,ko00001,09100 Metabolism,09105 Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]",K00544  BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5],Cluster_1
63,ko00001,09100 Metabolism,09105 Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270],K00544  BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5],Cluster_1
64,ko00001,09100 Metabolism,09103 Lipid metabolism,00140 Steroid hormone biosynthesis [PATH:ko00140],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
65,ko00001,09100 Metabolism,09105 Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
