ko_id,ko_name,n_cells,fc_1-2,pval
KO:K07035,uncharacterized protein,1228,-11.892592,5.623940024767516e-115
KO:K08600,sortase B [EC:3.4.22.71],1025,-11.634215,1.0397369211268376e-111
KO:K02810,sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211],1643,-11.312527,2.8575469687038134e-118
KO:K17074,putative lysine transport system permease protein,1238,-11.119523,1.6551119576487227e-100
KO:K06209,chorismate mutase [EC:5.4.99.5],1100,-11.109925,9.740569604835921e-116
KO:K16511,adapter protein MecA 1/2,940,-11.024707,5.0059447920894203e-113
KO:K15051,DNA-entry nuclease,1089,-10.835084,8.198387222408218e-92
KO:K05985,ribonuclease M5 [EC:3.1.26.8],1614,-10.83331,2.2506995947588736e-114
KO:K02757,beta-glucoside PTS system EIICBA component [EC:2.7.1.-],2385,-10.817976,9.664104647557594e-105
KO:K06407,stage V sporulation protein AE,1121,-10.647501,2.77368288528057e-105
KO:K09963,uncharacterized protein,1067,-10.634723,4.487783859280528e-112
KO:K06405,stage V sporulation protein AC,1105,-10.555567,2.5572544307409977e-109
KO:K06399,stage IV sporulation protein B [EC:3.4.21.116],1324,-10.55085,2.3874912638627427e-107
KO:K03706,transcriptional pleiotropic repressor,1288,-10.485563,1.9713725900549025e-111
KO:K06406,stage V sporulation protein AD,1256,-10.428976,2.9723798257266467e-106
KO:K06334,spore coat protein JC,1101,-10.425197,1.5968765395831591e-108
KO:K06387,stage II sporulation protein R,1194,-10.388988,2.0214290824055523e-109
KO:K06283,"putative DeoR family transcriptional regulator, stage III sporulation protein D",1111,-10.354598,1.0255119524334824e-104
KO:K19005,lipoteichoic acid synthase [EC:2.7.8.20],1478,-10.319213,5.480061872353706e-99
KO:K06398,stage IV sporulation protein A,1316,-10.296877,2.638473572940443e-108
KO:K06295,spore germination protein KA,1523,-10.276196,1.801942982798817e-102
KO:K06012,spore protease [EC:3.4.24.78],1213,-10.274585,1.24334498100329e-106
KO:K16209,lactose/raffinose/galactose permease,1012,-10.254512,4.2365855769330645e-86
KO:K03708,transcriptional regulator of stress and heat shock response,1256,-10.253167,4.9938095891577525e-111
KO:K07078,uncharacterized protein,1733,-10.211314,3.9777583618521526e-102
KO:K06333,spore coat protein JB,996,-10.173391,1.1493259981583071e-106
KO:K06438,similar to stage IV sporulation protein,1188,-10.161655,1.0016729905128236e-107
KO:K03488,beta-glucoside operon transcriptional antiterminator,1397,-10.079405,6.369460103382132e-90
KO:K06396,stage III sporulation protein AG,1079,-10.074875,6.202998425256892e-106
KO:K06392,stage III sporulation protein AC,985,-10.072553,3.7100865672577544e-103
KO:K06411,dipicolinate synthase subunit B,1108,-10.049993,1.809529475262966e-95
KO:K07813,accessory gene regulator B,897,-10.048305,2.3553528654723036e-99
